"beer_style","beer_id","avg_rating","review_count"
"Scottish Ale",45765,4.13,373
"Scottish Gruit / Ancient Herbed Ale",98032,4.42,188
"Scottish Gruit / Ancient Herbed Ale",245,4.23,390
"Scottish Gruit / Ancient Herbed Ale",243,4.22,275
"Scottish Gruit / Ancient Herbed Ale",1555,4.19,193
"Scottish Gruit / Ancient Herbed Ale",102896,4.17,219
"Smoke Beer",75508,4.29,646
"Smoke Beer",72720,4.28,200
"Smoke Beer",79538,4.28,496
"Smoke Beer",71483,4.22,184
"Smoke Beer",7697,4.16,594
"Smoke Porter",1769,4.32,1611
"Smoke Porter",51483,4.3,643
"Smoke Porter",90,4.23,2715
"Smoke Porter",38446,4.22,1195
"Smoke Porter",36707,4.17,548
"Vienna Lager",229,4.29,2289
"Vienna Lager",46793,4.25,303
"Vienna Lager",104,4.22,3386
"Vienna Lager",5,4.2,332
"Vienna Lager",50671,4.15,284
"Winter Warmer",149554,4.59,913
"Winter Warmer",1576,4.27,1766
"Winter Warmer",2081,4.26,879
"Winter Warmer",2178,4.24,1512
"Winter Warmer",1881,4.2,1433
